Movie Name,Address,Rating,Year,Date,Closed Captioning,Zip,Park Name
Despicable Me 3,"Gill Park Fieldhouse, 825, West Sheridan Road, Wrigleyville, Lake View, Chicago, Lake View Township, Cook County, Illinois, 60613, United States",PG,2018,2018-06-28,Y,0,Gill Park
The Boss Baby,"4311, West 15th Street, North Lawndale, Chicago, West Chicago Township, Cook County, Illinois, 60623, United States",PG,2018,2018-06-22,Y,0,Franklin Park
Hidden Figures,"Melville Fuller, West 45th Street, Fuller Park, Chicago, Lake Township, Cook County, Illinois, 60609, United States",PG,2018,2018-07-05,Y,0,Fuller Park
The Boss Baby,"AT&T Mitchell Central Office, 3032, East 130th Street, Avalon Trails, Hegewisch, Chicago, Hyde Park Township, Cook County, Illinois, 60633, United States",PG,2018,2018-07-24,Y,0,Mann Park
Wonder Woman,"4414, West Augusta Boulevard, Humboldt Park, Chicago, West Chicago Township, Cook County, Illinois, 60651, United States",PG-13,2018,2018-08-07,Y,0,Augusta Park
Coco,"The Spoke & Bird, 205, East 18th Street, Near South Side, Chicago, South Chicago Township, Cook County, Illinois, 60616, United States",PG,2018,2018-07-22,Y,0,Chicago Women's Park and Gardens
Grease,"1319, West Chicago Avenue, Noble Square, West Town, Chicago, West Chicago Township, Cook County, Illinois, 60642, United States",PG-13,2018,2018-07-01,Y,0,Eckhart Park
Jumanji: Welcome to the Jungle,"Chicago, IL",PG-13,2018,2018-06-29,Y,0,LeClaire Courts-Hearst Community Park
Wonder,"Vittum Park Fieldhouse, 5010, West 50th Street, Archer Limits, Garfield Ridge, Chicago, Lake Township, Cook County, Illinois, 60638, United States",PG,2018,2018-08-17,Y,0,Vittum Park
Mrs. Doubtfire,"Can't Believe It's Not Meat, 1368 1/2, East 53rd Street, East Hyde Park, Hyde Park, Chicago, Hyde Park Township, Cook County, Illinois, 60615, United States",PG-13,2018,2018-07-12,Y,0,Nichols Park
Dirty Dancing,"7321-7331, North Paulina Street, Jarvis Square, Rogers Park, Chicago, Rogers Park Township, Cook County, Illinois, 60626, United States",PG-13,2018,2018-06-23,Y,0,Touhy Park
